cluster_label,feedback_reasoning,request_count,mapped_issue_key,mapped_issue_summary,match_type,match_score,original_feedback_texts,extracted_feedback_keys,run_id,run_timestamp
Robot Framework (Playwright) SDK Integration,Users request official SDK support for Robot Framework when utilized with the Playwright-based Browser library.,2,SDK-3828,SDK support for Robot Framework with Playwright (Browser Library).,Semantic Match,0.9660018682479858,PRDFBK-5555 Robot Framework with Browser (the Playwright-based library for Robot Framework) with SDK | PRDFBK-5512 Robot Framework with Browser (the Playwright-based library for Robot Framework)  with SDK,[],run_20251031_043902,2025-10-31T13:37:39.133581
Dynamic SDK File Switching,Customers require the capability to switch or load different SDK configuration files dynamically during application runtime.,1,SDK-2876,Switch SDK Config FIles Dynamically,Semantic Match,0.7489209771156311,PRDFBK-4880 Switch SDK files Dynamically,['PRDFBK-4880'],run_20251031_043902,2025-10-31T13:37:39.133581
ANT Build System SDK Support,Customers require official SDK support and integration for projects using the Apache ANT build system.,1,SDK-3693,Support for ANT based frameworks on SDK,Semantic Match,0.7214692234992981,PRDFBK-5732 Support SDK on ANT builds,['PRDFBK-5732'],run_20251031_043902,2025-10-31T13:37:39.133581
Ruby SDK Support and Accessibility Features,"Users require improved general support for the Ruby SDK, specifically requesting automation and better accessibility (A11y) features.",2,SDK-3827,The customer is using ruby+cucmber(Rspec) framework their app automation and wants to explore app accessibility automation.,Semantic Match,0.6562227010726929,PRDFBK-6074 A11y Suport for Ruby - Automate | PRDFBK-1033 Ruby SDK Support,"['PRDFBK-6074', 'PRDFBK-1033']",run_20251031_043902,2025-10-31T13:37:39.133581
Cucumber JS Integration for A11y Automation,A required integration with the Cucumber JS framework is needed to support accessibility (A11y) automation.,1,SDK-3827,The customer is using ruby+cucmber(Rspec) framework their app automation and wants to explore app accessibility automation.,Semantic Match,0.6239364743232727,PRDFBK-2663 Cucumber JS integration required for A11y automation,['PRDFBK-2663'],run_20251031_043902,2025-10-31T13:37:39.133581
SDK Support for Robot Framework (Playwright Browser),Users require explicit SDK compatibility and coverage when running tests using the Robot Framework 'Browser' library (which is Playwright-based).,2,SDK-4338,Support for Playwright + Robot (Browser Library) on SDK,Semantic Match,0.8261809349060059,PRDFBK-5555 Robot Framework with Browser (the Playwright-based library for Robot Framework) with SDK | PRDFBK-5512 Robot Framework with Browser (the Playwright-based library for Robot Framework)  with SDK,[],run_20251031_223815,2025-10-31T22:54:35.762557
SDK Support for ANT Builds,Request to integrate and officially support the SDK within the legacy ANT build system environment.,1,SDK-3693,Support for ANT based frameworks on SDK,Semantic Match,0.7681466341018677,PRDFBK-5732 Support SDK on ANT builds,['PRDFBK-5732'],run_20251031_223815,2025-10-31T22:54:35.762557
Ruby SDK Support and A11y,"Users are requesting official support for the Ruby SDK, specifically including accessibility (A11y) automation capabilities.",2,SDK-3827,The customer is using ruby+cucmber(Rspec) framework their app automation and wants to explore app accessibility automation.,Semantic Match,0.691757321357727,PRDFBK-6074 A11y Suport for Ruby - Automate | PRDFBK-1033 Ruby SDK Support,"['PRDFBK-6074', 'PRDFBK-1033']",run_20251031_223815,2025-10-31T22:54:35.762557
Dynamic SDK File Switching,"Users require the ability to dynamically switch or load different sets of SDK files (e.g., configuration or assets) during application runtime.",1,SDK-2876,Switch SDK Config FIles Dynamically,Semantic Match,0.6676933765411377,PRDFBK-4880 Switch SDK files Dynamically,['PRDFBK-4880'],run_20251031_223815,2025-10-31T22:54:35.762557
SDK Configuration Automation,Users require features to automate the generation of SDK configuration files via API and centralize a single configuration across multiple projects.,2,SDK-2876,Switch SDK Config FIles Dynamically,Semantic Match,0.650415301322937,PRDFBK-4146 One SDK config YML file across multiple projects | PRDFBK-2913 Generate SDK YML files using an API call,"['PRDFBK-4146', 'PRDFBK-2913']",run_20251031_223815,2025-10-31T22:54:35.762557
