cluster_label,feedback_reasoning,request_count,mapped_issue_key,mapped_issue_summary,match_type,match_score,original_feedback_texts,extracted_feedback_keys
Robot Framework Browser Library SDK Coverage,"Customers require SDK support and compatibility for the 'Robot Framework with Browser' library, which uses Playwright.",2,SDK-3828,SDK support for Robot Framework with Playwright (Browser Library).,Semantic Match,0.9357812404632568,PRDFBK-5555 Robot Framework with Browser (the Playwright-based library for Robot Framework) with SDK | PRDFBK-5512 Robot Framework with Browser (the Playwright-based library for Robot Framework)  with SDK,"['PRDFBK-5555', 'PRDFBK-5512']"
ANT Build Tool SDK Support,Request for adding compatibility and support for the SDK within environments using the ANT build tool.,1,SDK-3693,Support for ANT based frameworks on SDK,Semantic Match,0.7384237051010132,PRDFBK-5732 Support SDK on ANT builds,['PRDFBK-5732']
Ruby SDK Support and Accessibility,Users are requesting automation and better accessibility (A11y) support within the Ruby SDK.,2,SDK-3827,The customer is using ruby+cucmber(Rspec) framework their app automation and wants to explore app accessibility automation.,Semantic Match,0.6599118113517761,PRDFBK-6074 A11y Suport for Ruby - Automate | PRDFBK-1033 Ruby SDK Support,"['PRDFBK-6074', 'PRDFBK-1033']"
Dynamic SDK File Switching,Users require the ability to dynamically switch or load different SDK files during runtime.,1,SDK-2876,Switch SDK Config FIles Dynamically,Semantic Match,0.6514251828193665,PRDFBK-4880 Switch SDK files Dynamically,['PRDFBK-4880']
Playwright Framework Integration & Configuration,Requesting enhanced compatibility and feature support for the Playwright testing framework across various environments (C#/Reqnroll) and build systems (Nx.dev).,4,SDK-4494,FW support for Playwright/ C# with Reqnroll and Nunit for A11y Automation,Semantic Match,0.6496453881263733,PRDFBK-5967 Support for Playwright C# with Reqnroll | PRDFBK-3873 Support with Playwright-NX | PRDFBK-871 testMatch for Playwright | PRDFBK-687 Nx.dev support with playwright,"['PRDFBK-5967', 'PRDFBK-3873', 'PRDFBK-871', 'PRDFBK-687']"
Cucumber JS Accessibility Integration,Users require official integration or support for Cucumber JS to enable accessibility (A11y) automation testing workflows.,1,SDK-3827,The customer is using ruby+cucmber(Rspec) framework their app automation and wants to explore app accessibility automation.,Semantic Match,0.611341118812561,PRDFBK-2663 Cucumber JS integration required for A11y automation,['PRDFBK-2663']
Difficult SDK Onboarding & Documentation,"Users are finding it difficult to onboard and integrate the SDK due to inadequate or unclear documentation, specifically requesting improvements for Gradle setup.",5,SDK-3816,SDK Support for App Accessibility Automation - Gradle,Semantic Match,0.610519289970398,PRDFBK-2665 Gradle Documentation for SDK | PRDFBK-2376 Improve SDK Documentation | PRDFBK-2352 Difficulty in onboarding to SDK | PRDFBK-1244 DIfficulty in integrating the SDK | PRDFBK-173 Difficulty in onboarding to SDK,"['PRDFBK-2665', 'PRDFBK-2376', 'PRDFBK-2352', 'PRDFBK-1244', 'PRDFBK-173']"
Asynchronous Test Status Update (BrowserStack),Update asynchronous test scenario status updates immediately upon completion within the BrowserStack integration.,1,SDK-2343,BUPA -  Asynchronously update test execution results on the IDE's Test Explorer UI.,Semantic Match,0.6007094383239746,PRDFBK-4314 Update test scenario's async as and when they complete on BrowserSTack,['PRDFBK-4314']
Enhanced SDK Support for Cucumber and Playwright Frameworks,"Customers require SDK and observability support for integrating the Cucumber BDD framework (Java, JavaScript, Typescript) primarily with Playwright, and extending support to other BDD tools like JBehave.",9,SDK-3244,Playwright-Jest SDK Integration support,Semantic Match,0.585635781288147,PRDFBK-4676 SDK integration with Playwright+Cucumber+Typescript framework | PRDFBK-4009 Playwright cucumber SDK support | PRDFBK-3631 Playwright Cucumber Support: SDK and Accessibility | PRDFBK-3455 Support for Java+playwright+cucumber frameworks on TO | PRDFBK-2895 CucumberJS with Playwright support | PRDFBK-1590 O11y support for Cucumber Java & Selenium | PRDFBK-1498 cucumber-js/playwright sdk support | PRDFBK-1140 Support Java Cucumber O11y | PRDFBK-288 JBehave Cucumber integration,"['PRDFBK-4676', 'PRDFBK-4009', 'PRDFBK-3631', 'PRDFBK-3455', 'PRDFBK-2895', 'PRDFBK-1590', 'PRDFBK-1498', 'PRDFBK-1140', 'PRDFBK-288']"
XCUITest Support,A feature request to add official support for the XCUITest testing framework.,1,SDK-4021,XCUITest support for App Accessibility Automation,Semantic Match,0.5822759866714478,PRDFBK-905 Support for XCUITest,['PRDFBK-905']
Cypress 13 Support for Accessibility Automation,Request to add support for running accessibility (a11y) automation checks using the latest major versions of Cypress (Cypress 13).,1,SDK-4021,XCUITest support for App Accessibility Automation,Semantic Match,0.567480206489563,PRDFBK-3005 Cypress 13 latest versions for a11y automation,['PRDFBK-3005']
Playwright Video Parameter Configuration,Request to add configuration support for video recording parameters within the Playwright test configuration file.,1,SDK-4078,Support for video logs and screenshots for non-bstack Playwright tests for GRR customers,Semantic Match,0.5523329973220825,PRDFBK-3849 Support for video parameter in playwright config file,['PRDFBK-3849']
